groupe,libelle,brut_ha,brut_parcelles,resolu_ha,resolu_parcelles,ecart_resolution_ha,retenu_ha,part_cultive_pct
AG,Agrumes,100.84,112,100.84,112,0.0,100.84,0.4276870080952617
AN,Ananas,132.67000000000002,199,132.67000000000002,199,0.0,132.67000000000002,0.5626857929789605
BA,Banane export,1920.8,1947,1920.8,1947,0.0,1920.8,8.146580773000581
BC,Banane plantain,147.21,239,147.21,239,0.0,147.21,0.6243534754234775
CS,Canne a sucre,12812.93,10955,12812.93,10955,0.0,12812.93,54.34275780081338
IG,Igname et tubercules,145.42,337,145.42,337,0.0,145.42,0.6167616493178595
JA,Jachere,1829.6,2225,621.47,731,-1208.1299999999999,621.47,2.635805681485148
MA,Maraichage,1086.97,1599,1086.97,1599,0.0,1086.97,4.610104593309268
ME,Melon,189.36,48,189.36,48,0.0,189.36,0.8031218946144264
NC,Non cultive,1350.54,1043,2558.67,2537,1208.13,0.0,0.0
PN,Prairies et savanes,6109.43,5524,6109.43,5524,0.0,6109.43,25.91158109745572
VE,Vergers hors agrumes,310.89,506,310.89,506,0.0,310.89,1.3185602335059095
